mint,slot,status,origin,fee_payer,signature,solscan_url
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705244,OK,OURS,2V7eGvkSE3NxyyJXSsWXNytjw3FpdUriScCx6vNGcqgm,2iQiUu6qcsiMV7Cq2grEyCDg277aTYPT5wFy2NenCez3Prqxt1fiY7sFQsbkvTppDjGYnES3JzC9tiP6dDx25uaj,https://solscan.io/tx/2iQiUu6qcsiMV7Cq2grEyCDg277aTYPT5wFy2NenCez3Prqxt1fiY7sFQsbkvTppDjGYnES3JzC9tiP6dDx25uaj
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705242,OK,OURS,DSz3qGyqxAvT3dVTvgHtpVe4sP1vyZzABciK3EthCmQD,DCYZahToY8X1LJzYhjixKYni7AVxCyACwtZbB4D2QEunwcefKF3NYxTtRQcz3Y2hFCvfvuvQw5r7u2nxwvQjzgD,https://solscan.io/tx/DCYZahToY8X1LJzYhjixKYni7AVxCyACwtZbB4D2QEunwcefKF3NYxTtRQcz3Y2hFCvfvuvQw5r7u2nxwvQjzgD
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705242,OK,OURS,7CYs7Qa3sbjdj6dBMDdnCJYabgAALK5VcPibyYnBEj1U,2dt6MsrJHvphnQzaKfHHMKXSabmYmEkDvdXeKnoK6WmvA1hAvXvLZD9kZX8zJJKQR99tuPfVeDYXrsrLLdjQTRG1,https://solscan.io/tx/2dt6MsrJHvphnQzaKfHHMKXSabmYmEkDvdXeKnoK6WmvA1hAvXvLZD9kZX8zJJKQR99tuPfVeDYXrsrLLdjQTRG1
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705240,OK,OURS,51YM5Pwzby1urwkZRsf3R1X5nYaaQCjGnNsLUaxLY6zt,66oRhJtT8Zp7CnuMZA3KFmQQ4VQfKW8rW4E7bTQ8QFxRsczea63ikmTbuUdvDEfU2XHXhvp3Nr8cUzJAfebkzEK9,https://solscan.io/tx/66oRhJtT8Zp7CnuMZA3KFmQQ4VQfKW8rW4E7bTQ8QFxRsczea63ikmTbuUdvDEfU2XHXhvp3Nr8cUzJAfebkzEK9
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705240,OK,OURS,APMxwBehww8JSXGT8FKo4BSJTp6MQXPvu2RG8tcQVoyA,2usYCTGiJ9i6uywZQf7afSgT8cjbbPbyV44E3xVWtWtmhpdft2XFNV8X1M1ePUkpMUAA4m72SYrMMwqDLm1eDdnG,https://solscan.io/tx/2usYCTGiJ9i6uywZQf7afSgT8cjbbPbyV44E3xVWtWtmhpdft2XFNV8X1M1ePUkpMUAA4m72SYrMMwqDLm1eDdnG
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705238,OK,OURS,2UjG4Y16htXGtNRChywsT7X2V4BP5iZRNRSY5Hn2RADT,P1WRHZhWdjhd2vJD1HKJqAw84J4CWXNT8eXHmHKoUHVLSWCq4kLW1LiEQmHjaVFHNrfrpVHKZTguZxX3A1i1NAw,https://solscan.io/tx/P1WRHZhWdjhd2vJD1HKJqAw84J4CWXNT8eXHmHKoUHVLSWCq4kLW1LiEQmHjaVFHNrfrpVHKZTguZxX3A1i1NAw
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705238,OK,OURS,2V7eGvkSE3NxyyJXSsWXNytjw3FpdUriScCx6vNGcqgm,4ddRJzo57chUpuRJMJU6iwmojywNyirMqM5sBvEYUPW7eaUBE95fVenkDP8wZgyH4TeyQYQHszu81C6cKLXcAqKN,https://solscan.io/tx/4ddRJzo57chUpuRJMJU6iwmojywNyirMqM5sBvEYUPW7eaUBE95fVenkDP8wZgyH4TeyQYQHszu81C6cKLXcAqKN
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705236,OK,OURS,HicAxz526iZK56CSK4GeGpfSSTJPaPEDLt7C7vxT7MdP,2GT869EhT6EHekmgP7gmfUXYKpNEi2XnradNowb4RuwRgLBozC5VpiThSSifjLx2hthEqWZ5xBSdu5vMCa2r7fBH,https://solscan.io/tx/2GT869EhT6EHekmgP7gmfUXYKpNEi2XnradNowb4RuwRgLBozC5VpiThSSifjLx2hthEqWZ5xBSdu5vMCa2r7fBH
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705236,OK,OURS,7CYs7Qa3sbjdj6dBMDdnCJYabgAALK5VcPibyYnBEj1U,56YqubWt8fhwTkfmrcQxWWmwJPrapok4LoqE8tgtfSWLUGYSA7VqcakP7P2Q4WYBjCiN9dkTTuvHhKCw8UTx6JqE,https://solscan.io/tx/56YqubWt8fhwTkfmrcQxWWmwJPrapok4LoqE8tgtfSWLUGYSA7VqcakP7P2Q4WYBjCiN9dkTTuvHhKCw8UTx6JqE
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705234,OK,OURS,5Vu1SwjBdieN7nqTVidrH5SnbfGLJkHifbatJVHcVowi,456pZjmFa7ffvDoBcMnWJxDEiLjX5dC1PZTZYbPAcViLQbzLuF5dVfKixntcK1LwKb4uUXpXnLjxWfkGenRSRV9w,https://solscan.io/tx/456pZjmFa7ffvDoBcMnWJxDEiLjX5dC1PZTZYbPAcViLQbzLuF5dVfKixntcK1LwKb4uUXpXnLjxWfkGenRSRV9w
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705234,OK,OURS,APMxwBehww8JSXGT8FKo4BSJTp6MQXPvu2RG8tcQVoyA,5GgV87KHPviRD4r2ppzsJF3sf5QbqE3L1Qmu25a75tKSjnxss4QrnYXFu2sQ9VGk34QWs2J2BMAX6WxyALrizns7,https://solscan.io/tx/5GgV87KHPviRD4r2ppzsJF3sf5QbqE3L1Qmu25a75tKSjnxss4QrnYXFu2sQ9VGk34QWs2J2BMAX6WxyALrizns7
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705232,OK,OURS,DjyL5kYWa8zwXP87m8A5K2udr72gjCzbNxYq3Ks3wfCU,3ntgvo49fcrobi1iVR88kg8ivDfHwgsAhD4uphwRhxQWs98MEkGsvpLULAiKNq3NZm94NMPAVn7pdM74STfw7wns,https://solscan.io/tx/3ntgvo49fcrobi1iVR88kg8ivDfHwgsAhD4uphwRhxQWs98MEkGsvpLULAiKNq3NZm94NMPAVn7pdM74STfw7wns
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705232,OK,OURS,2V7eGvkSE3NxyyJXSsWXNytjw3FpdUriScCx6vNGcqgm,674iC3viCZQ5XweEJrLZ5tik8umRg4DK2vEK3uRc1N2affLijQNEZUcwnWS1ncevghM7LW4uc5hSrrtuP3q3Ess7,https://solscan.io/tx/674iC3viCZQ5XweEJrLZ5tik8umRg4DK2vEK3uRc1N2affLijQNEZUcwnWS1ncevghM7LW4uc5hSrrtuP3q3Ess7
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705230,OK,OURS,ATqwhiH4AFqt63ENbQvRgnhqgnapci4jmGKMKRDoseWM,48Eh557cYJ3ZMUuPQhUjrAR7zgzZYPC3AJZTWB4qiEMiYv4nscyBjUHwG8jH3A99jmYun5ETnJi5poKQFLkEF9hv,https://solscan.io/tx/48Eh557cYJ3ZMUuPQhUjrAR7zgzZYPC3AJZTWB4qiEMiYv4nscyBjUHwG8jH3A99jmYun5ETnJi5poKQFLkEF9hv
5Ffes4naSYBo34BJPDH8VbNe54S9qQn3CPdyj13jQ9qc,417705230,OK,OURS,7CYs7Qa3sbjdj6dBMDdnCJYabgAALK5VcPibyYnBEj1U,4M6tQLr95nLz7xvEL6rFDmiFagGHE9BZjkr9eje8geEFJD2bcVkEsZkdHxWBnyjATcFyv46PAYLJBdw6W3GEmeSY,https://solscan.io/tx/4M6tQLr95nLz7xvEL6rFDmiFagGHE9BZjkr9eje8geEFJD2bcVkEsZkdHxWBnyjATcFyv46PAYLJBdw6W3GEmeSY
